idx,0,LOG_TIME,2023-09-20T05:08:18,2023-09-20T00:08:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,494m,6%,666Mi,8%,
kind-worker,91m,1%,188Mi,2%,
kind-worker2,63m,0%,163Mi,2%,
idx,1,LOG_TIME,2023-09-20T05:08:19,2023-09-20T00:08:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,494m,6%,666Mi,8%,
kind-worker,91m,1%,188Mi,2%,
kind-worker2,63m,0%,163Mi,2%,
idx,2,LOG_TIME,2023-09-20T05:08:20,2023-09-20T00:08:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,494m,6%,666Mi,8%,
kind-worker,91m,1%,188Mi,2%,
kind-worker2,63m,0%,163Mi,2%,
idx,3,LOG_TIME,2023-09-20T05:08:21,2023-09-20T00:08:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,494m,6%,666Mi,8%,
kind-worker,91m,1%,188Mi,2%,
kind-worker2,63m,0%,163Mi,2%,
idx,4,LOG_TIME,2023-09-20T05:08:22,2023-09-20T00:08:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,494m,6%,666Mi,8%,
kind-worker,91m,1%,188Mi,2%,
kind-worker2,63m,0%,163Mi,2%,
idx,5,LOG_TIME,2023-09-20T05:08:23,2023-09-20T00:08:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,6,LOG_TIME,2023-09-20T05:08:25,2023-09-20T00:08:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,7,LOG_TIME,2023-09-20T05:08:26,2023-09-20T00:08:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,8,LOG_TIME,2023-09-20T05:08:27,2023-09-20T00:08:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,9,LOG_TIME,2023-09-20T05:08:28,2023-09-20T00:08:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,10,LOG_TIME,2023-09-20T05:08:29,2023-09-20T00:08:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,11,LOG_TIME,2023-09-20T05:08:30,2023-09-20T00:08:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,12,LOG_TIME,2023-09-20T05:08:31,2023-09-20T00:08:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,13,LOG_TIME,2023-09-20T05:08:32,2023-09-20T00:08:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,14,LOG_TIME,2023-09-20T05:08:33,2023-09-20T00:08:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,15,LOG_TIME,2023-09-20T05:08:34,2023-09-20T00:08:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,16,LOG_TIME,2023-09-20T05:08:35,2023-09-20T00:08:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,17,LOG_TIME,2023-09-20T05:08:36,2023-09-20T00:08:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,18,LOG_TIME,2023-09-20T05:08:37,2023-09-20T00:08:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,19,LOG_TIME,2023-09-20T05:08:38,2023-09-20T00:08:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,20,LOG_TIME,2023-09-20T05:08:39,2023-09-20T00:08:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,21,LOG_TIME,2023-09-20T05:08:40,2023-09-20T00:08:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,22,LOG_TIME,2023-09-20T05:08:41,2023-09-20T00:08:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,23,LOG_TIME,2023-09-20T05:08:42,2023-09-20T00:08:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,24,LOG_TIME,2023-09-20T05:08:43,2023-09-20T00:08:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,25,LOG_TIME,2023-09-20T05:08:44,2023-09-20T00:08:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,26,LOG_TIME,2023-09-20T05:08:45,2023-09-20T00:08:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,27,LOG_TIME,2023-09-20T05:08:46,2023-09-20T00:08:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,28,LOG_TIME,2023-09-20T05:08:48,2023-09-20T00:08:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,29,LOG_TIME,2023-09-20T05:08:49,2023-09-20T00:08:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,30,LOG_TIME,2023-09-20T05:08:50,2023-09-20T00:08:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,31,LOG_TIME,2023-09-20T05:08:51,2023-09-20T00:08:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,32,LOG_TIME,2023-09-20T05:08:52,2023-09-20T00:08:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,33,LOG_TIME,2023-09-20T05:08:53,2023-09-20T00:08:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,34,LOG_TIME,2023-09-20T05:08:54,2023-09-20T00:08:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
kind-worker,206m,2%,203Mi,2%,
kind-worker2,186m,2%,198Mi,2%,
idx,35,LOG_TIME,2023-09-20T05:08:55,2023-09-20T00:08:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
kind-worker,206m,2%,203Mi,2%,
kind-worker2,186m,2%,198Mi,2%,
idx,36,LOG_TIME,2023-09-20T05:08:56,2023-09-20T00:08:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
kind-worker,206m,2%,203Mi,2%,
kind-worker2,186m,2%,198Mi,2%,
idx,37,LOG_TIME,2023-09-20T05:08:57,2023-09-20T00:08:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
kind-worker,206m,2%,203Mi,2%,
kind-worker2,186m,2%,198Mi,2%,
idx,38,LOG_TIME,2023-09-20T05:08:58,2023-09-20T00:08:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
kind-worker,206m,2%,203Mi,2%,
kind-worker2,186m,2%,198Mi,2%,
idx,39,LOG_TIME,2023-09-20T05:08:59,2023-09-20T00:08:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
kind-worker,206m,2%,203Mi,2%,
kind-worker2,186m,2%,198Mi,2%,
idx,40,LOG_TIME,2023-09-20T05:09:00,2023-09-20T00:09:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
kind-worker,206m,2%,203Mi,2%,
kind-worker2,186m,2%,198Mi,2%,
idx,41,LOG_TIME,2023-09-20T05:09:01,2023-09-20T00:09:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
kind-worker,206m,2%,203Mi,2%,
kind-worker2,186m,2%,198Mi,2%,
idx,42,LOG_TIME,2023-09-20T05:09:03,2023-09-20T00:09:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
kind-worker,206m,2%,203Mi,2%,
kind-worker2,186m,2%,198Mi,2%,
idx,43,LOG_TIME,2023-09-20T05:09:05,2023-09-20T00:09:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,669Mi,8%,
kind-worker,410m,5%,229Mi,2%,
kind-worker2,112m,1%,203Mi,2%,
idx,44,LOG_TIME,2023-09-20T05:09:06,2023-09-20T00:09:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,669Mi,8%,
kind-worker,410m,5%,229Mi,2%,
kind-worker2,112m,1%,203Mi,2%,
idx,45,LOG_TIME,2023-09-20T05:09:07,2023-09-20T00:09:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,669Mi,8%,
kind-worker,410m,5%,229Mi,2%,
kind-worker2,112m,1%,203Mi,2%,
idx,46,LOG_TIME,2023-09-20T05:09:08,2023-09-20T00:09:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,669Mi,8%,
kind-worker,410m,5%,229Mi,2%,
kind-worker2,112m,1%,203Mi,2%,
idx,47,LOG_TIME,2023-09-20T05:09:09,2023-09-20T00:09:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,669Mi,8%,
kind-worker,410m,5%,229Mi,2%,
kind-worker2,112m,1%,203Mi,2%,
idx,48,LOG_TIME,2023-09-20T05:09:10,2023-09-20T00:09:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,669Mi,8%,
kind-worker,410m,5%,229Mi,2%,
kind-worker2,112m,1%,203Mi,2%,
idx,49,LOG_TIME,2023-09-20T05:09:11,2023-09-20T00:09:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,669Mi,8%,
kind-worker,410m,5%,229Mi,2%,
kind-worker2,112m,1%,203Mi,2%,
idx,50,LOG_TIME,2023-09-20T05:09:12,2023-09-20T00:09:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,669Mi,8%,
kind-worker,410m,5%,229Mi,2%,
kind-worker2,112m,1%,203Mi,2%,
idx,51,LOG_TIME,2023-09-20T05:09:13,2023-09-20T00:09:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,920m,11%,673Mi,8%,
kind-worker,255m,3%,229Mi,2%,
kind-worker2,64m,0%,205Mi,2%,
idx,52,LOG_TIME,2023-09-20T05:09:14,2023-09-20T00:09:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,920m,11%,673Mi,8%,
kind-worker,255m,3%,229Mi,2%,
kind-worker2,64m,0%,205Mi,2%,
idx,53,LOG_TIME,2023-09-20T05:09:15,2023-09-20T00:09:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,920m,11%,673Mi,8%,
kind-worker,255m,3%,229Mi,2%,
kind-worker2,64m,0%,205Mi,2%,
idx,54,LOG_TIME,2023-09-20T05:09:17,2023-09-20T00:09:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,920m,11%,673Mi,8%,
kind-worker,255m,3%,229Mi,2%,
kind-worker2,64m,0%,205Mi,2%,
idx,55,LOG_TIME,2023-09-20T05:09:18,2023-09-20T00:09:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,920m,11%,673Mi,8%,
kind-worker,255m,3%,229Mi,2%,
kind-worker2,64m,0%,205Mi,2%,
idx,56,LOG_TIME,2023-09-20T05:09:19,2023-09-20T00:09:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,920m,11%,673Mi,8%,
kind-worker,255m,3%,229Mi,2%,
kind-worker2,64m,0%,205Mi,2%,
idx,57,LOG_TIME,2023-09-20T05:09:20,2023-09-20T00:09:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,920m,11%,673Mi,8%,
kind-worker,255m,3%,229Mi,2%,
kind-worker2,64m,0%,205Mi,2%,
idx,58,LOG_TIME,2023-09-20T05:09:21,2023-09-20T00:09:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,920m,11%,673Mi,8%,
kind-worker,255m,3%,229Mi,2%,
kind-worker2,64m,0%,205Mi,2%,
idx,59,LOG_TIME,2023-09-20T05:09:22,2023-09-20T00:09:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,920m,11%,673Mi,8%,
kind-worker,255m,3%,229Mi,2%,
kind-worker2,64m,0%,205Mi,2%,
idx,60,LOG_TIME,2023-09-20T05:09:23,2023-09-20T00:09:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,920m,11%,673Mi,8%,
kind-worker,255m,3%,229Mi,2%,
kind-worker2,64m,0%,205Mi,2%,
idx,61,LOG_TIME,2023-09-20T05:09:24,2023-09-20T00:09:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,668Mi,8%,
kind-worker,208m,2%,232Mi,2%,
kind-worker2,48m,0%,208Mi,2%,
idx,62,LOG_TIME,2023-09-20T05:09:25,2023-09-20T00:09:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,668Mi,8%,
kind-worker,208m,2%,232Mi,2%,
kind-worker2,48m,0%,208Mi,2%,
idx,63,LOG_TIME,2023-09-20T05:09:26,2023-09-20T00:09:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,668Mi,8%,
kind-worker,208m,2%,232Mi,2%,
kind-worker2,48m,0%,208Mi,2%,
idx,64,LOG_TIME,2023-09-20T05:09:27,2023-09-20T00:09:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,668Mi,8%,
kind-worker,208m,2%,232Mi,2%,
kind-worker2,48m,0%,208Mi,2%,
idx,65,LOG_TIME,2023-09-20T05:09:28,2023-09-20T00:09:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,668Mi,8%,
kind-worker,208m,2%,232Mi,2%,
kind-worker2,48m,0%,208Mi,2%,
idx,66,LOG_TIME,2023-09-20T05:09:29,2023-09-20T00:09:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,668Mi,8%,
kind-worker,208m,2%,232Mi,2%,
kind-worker2,48m,0%,208Mi,2%,
idx,67,LOG_TIME,2023-09-20T05:09:30,2023-09-20T00:09:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,668Mi,8%,
kind-worker,208m,2%,232Mi,2%,
kind-worker2,48m,0%,208Mi,2%,
idx,68,LOG_TIME,2023-09-20T05:09:31,2023-09-20T00:09:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,668Mi,8%,
kind-worker,208m,2%,232Mi,2%,
kind-worker2,48m,0%,208Mi,2%,
idx,69,LOG_TIME,2023-09-20T05:09:32,2023-09-20T00:09:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,668Mi,8%,
kind-worker,208m,2%,232Mi,2%,
kind-worker2,48m,0%,208Mi,2%,
idx,70,LOG_TIME,2023-09-20T05:09:33,2023-09-20T00:09:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1359m,16%,670Mi,8%,
kind-worker,223m,2%,234Mi,2%,
kind-worker2,53m,0%,208Mi,2%,
idx,71,LOG_TIME,2023-09-20T05:09:34,2023-09-20T00:09:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1359m,16%,670Mi,8%,
kind-worker,223m,2%,234Mi,2%,
kind-worker2,53m,0%,208Mi,2%,
idx,72,LOG_TIME,2023-09-20T05:09:35,2023-09-20T00:09:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1359m,16%,670Mi,8%,
kind-worker,223m,2%,234Mi,2%,
kind-worker2,53m,0%,208Mi,2%,
idx,73,LOG_TIME,2023-09-20T05:09:36,2023-09-20T00:09:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1359m,16%,670Mi,8%,
kind-worker,223m,2%,234Mi,2%,
kind-worker2,53m,0%,208Mi,2%,
idx,74,LOG_TIME,2023-09-20T05:09:38,2023-09-20T00:09:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1359m,16%,670Mi,8%,
kind-worker,223m,2%,234Mi,2%,
kind-worker2,53m,0%,208Mi,2%,
idx,75,LOG_TIME,2023-09-20T05:09:39,2023-09-20T00:09:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1359m,16%,670Mi,8%,
kind-worker,223m,2%,234Mi,2%,
kind-worker2,53m,0%,208Mi,2%,
idx,76,LOG_TIME,2023-09-20T05:09:40,2023-09-20T00:09:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1359m,16%,670Mi,8%,
kind-worker,223m,2%,234Mi,2%,
kind-worker2,53m,0%,208Mi,2%,
idx,77,LOG_TIME,2023-09-20T05:09:41,2023-09-20T00:09:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1359m,16%,670Mi,8%,
kind-worker,223m,2%,234Mi,2%,
kind-worker2,53m,0%,208Mi,2%,
idx,78,LOG_TIME,2023-09-20T05:09:42,2023-09-20T00:09:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1359m,16%,670Mi,8%,
kind-worker,223m,2%,234Mi,2%,
kind-worker2,53m,0%,208Mi,2%,
idx,79,LOG_TIME,2023-09-20T05:09:44,2023-09-20T00:09:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1464m,18%,671Mi,8%,
kind-worker,216m,2%,231Mi,2%,
kind-worker2,46m,0%,205Mi,2%,
idx,80,LOG_TIME,2023-09-20T05:09:45,2023-09-20T00:09:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1464m,18%,671Mi,8%,
kind-worker,216m,2%,231Mi,2%,
kind-worker2,46m,0%,205Mi,2%,
idx,81,LOG_TIME,2023-09-20T05:09:46,2023-09-20T00:09:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1464m,18%,671Mi,8%,
kind-worker,216m,2%,231Mi,2%,
kind-worker2,46m,0%,205Mi,2%,
idx,82,LOG_TIME,2023-09-20T05:09:47,2023-09-20T00:09:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1464m,18%,671Mi,8%,
kind-worker,216m,2%,231Mi,2%,
kind-worker2,46m,0%,205Mi,2%,
idx,83,LOG_TIME,2023-09-20T05:09:48,2023-09-20T00:09:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1464m,18%,671Mi,8%,
kind-worker,216m,2%,231Mi,2%,
kind-worker2,46m,0%,205Mi,2%,
idx,84,LOG_TIME,2023-09-20T05:09:49,2023-09-20T00:09:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1464m,18%,671Mi,8%,
kind-worker,216m,2%,231Mi,2%,
kind-worker2,46m,0%,205Mi,2%,
idx,85,LOG_TIME,2023-09-20T05:09:50,2023-09-20T00:09:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1464m,18%,671Mi,8%,
kind-worker,216m,2%,231Mi,2%,
kind-worker2,46m,0%,205Mi,2%,
idx,86,LOG_TIME,2023-09-20T05:09:51,2023-09-20T00:09:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1464m,18%,671Mi,8%,
kind-worker,216m,2%,231Mi,2%,
kind-worker2,46m,0%,205Mi,2%,
idx,87,LOG_TIME,2023-09-20T05:09:52,2023-09-20T00:09:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1464m,18%,671Mi,8%,
kind-worker,216m,2%,231Mi,2%,
kind-worker2,46m,0%,205Mi,2%,
idx,88,LOG_TIME,2023-09-20T05:09:53,2023-09-20T00:09:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1167m,14%,666Mi,8%,
kind-worker,213m,2%,233Mi,2%,
kind-worker2,46m,0%,207Mi,2%,
