idx,0,LOG_TIME,2023-09-20T04:49:40,2023-09-19T23:49:40,-,-
idx,1,LOG_TIME,2023-09-20T04:49:41,2023-09-19T23:49:41,-,-
idx,2,LOG_TIME,2023-09-20T04:49:43,2023-09-19T23:49:43,-,-
idx,3,LOG_TIME,2023-09-20T04:49:44,2023-09-19T23:49:44,-,-
idx,4,LOG_TIME,2023-09-20T04:49:45,2023-09-19T23:49:45,-,-
idx,5,LOG_TIME,2023-09-20T04:49:46,2023-09-19T23:49:46,-,-
idx,6,LOG_TIME,2023-09-20T04:49:47,2023-09-19T23:49:47,-,-
idx,7,LOG_TIME,2023-09-20T04:49:48,2023-09-19T23:49:48,-,-
idx,8,LOG_TIME,2023-09-20T04:49:49,2023-09-19T23:49:49,-,-
idx,9,LOG_TIME,2023-09-20T04:49:50,2023-09-19T23:49:50,-,-
idx,10,LOG_TIME,2023-09-20T04:49:51,2023-09-19T23:49:51,-,-
idx,11,LOG_TIME,2023-09-20T04:49:52,2023-09-19T23:49:52,-,-
idx,12,LOG_TIME,2023-09-20T04:49:53,2023-09-19T23:49:53,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,1s
idx,13,LOG_TIME,2023-09-20T04:49:54,2023-09-19T23:49:54,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,2s
idx,14,LOG_TIME,2023-09-20T04:49:55,2023-09-19T23:49:55,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,3s
idx,15,LOG_TIME,2023-09-20T04:49:56,2023-09-19T23:49:56,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,4s
idx,16,LOG_TIME,2023-09-20T04:49:57,2023-09-19T23:49:57,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,5s
idx,17,LOG_TIME,2023-09-20T04:49:58,2023-09-19T23:49:58,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,6s
idx,18,LOG_TIME,2023-09-20T04:49:59,2023-09-19T23:49:59,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,7s
idx,19,LOG_TIME,2023-09-20T04:50:00,2023-09-19T23:50:00,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,8s
idx,20,LOG_TIME,2023-09-20T04:50:01,2023-09-19T23:50:01,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,10s
idx,21,LOG_TIME,2023-09-20T04:50:02,2023-09-19T23:50:02,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,11s
idx,22,LOG_TIME,2023-09-20T04:50:03,2023-09-19T23:50:03,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,12s
idx,23,LOG_TIME,2023-09-20T04:50:04,2023-09-19T23:50:04,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,13s
idx,24,LOG_TIME,2023-09-20T04:50:05,2023-09-19T23:50:05,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,14s
idx,25,LOG_TIME,2023-09-20T04:50:06,2023-09-19T23:50:06,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,15s
idx,26,LOG_TIME,2023-09-20T04:50:07,2023-09-19T23:50:07,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,16s
idx,27,LOG_TIME,2023-09-20T04:50:08,2023-09-19T23:50:08,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,17s
idx,28,LOG_TIME,2023-09-20T04:50:10,2023-09-19T23:50:10,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,18s
idx,29,LOG_TIME,2023-09-20T04:50:11,2023-09-19T23:50:11,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,19s
idx,30,LOG_TIME,2023-09-20T04:50:12,2023-09-19T23:50:12,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,20s
idx,31,LOG_TIME,2023-09-20T04:50:13,2023-09-19T23:50:13,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,21s
idx,32,LOG_TIME,2023-09-20T04:50:14,2023-09-19T23:50:14,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,22s
idx,33,LOG_TIME,2023-09-20T04:50:15,2023-09-19T23:50:15,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,23s
idx,34,LOG_TIME,2023-09-20T04:50:16,2023-09-19T23:50:16,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,24s
idx,35,LOG_TIME,2023-09-20T04:50:17,2023-09-19T23:50:17,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,25s
idx,36,LOG_TIME,2023-09-20T04:50:18,2023-09-19T23:50:18,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,26s
idx,37,LOG_TIME,2023-09-20T04:50:19,2023-09-19T23:50:19,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,27s
idx,38,LOG_TIME,2023-09-20T04:50:20,2023-09-19T23:50:20,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,28s
idx,39,LOG_TIME,2023-09-20T04:50:21,2023-09-19T23:50:21,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,29s
idx,40,LOG_TIME,2023-09-20T04:50:22,2023-09-19T23:50:22,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,30s
idx,41,LOG_TIME,2023-09-20T04:50:23,2023-09-19T23:50:23,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,31s
idx,42,LOG_TIME,2023-09-20T04:50:24,2023-09-19T23:50:24,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,32s
idx,43,LOG_TIME,2023-09-20T04:50:25,2023-09-19T23:50:25,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,33s
idx,44,LOG_TIME,2023-09-20T04:50:26,2023-09-19T23:50:26,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,34s
idx,45,LOG_TIME,2023-09-20T04:50:27,2023-09-19T23:50:27,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,35s
idx,46,LOG_TIME,2023-09-20T04:50:28,2023-09-19T23:50:28,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,37s
idx,47,LOG_TIME,2023-09-20T04:50:29,2023-09-19T23:50:29,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,38s
idx,48,LOG_TIME,2023-09-20T04:50:30,2023-09-19T23:50:30,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,39s
idx,49,LOG_TIME,2023-09-20T04:50:31,2023-09-19T23:50:31,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,40s
idx,50,LOG_TIME,2023-09-20T04:50:32,2023-09-19T23:50:32,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,41s
idx,51,LOG_TIME,2023-09-20T04:50:33,2023-09-19T23:50:33,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,42s
idx,52,LOG_TIME,2023-09-20T04:50:34,2023-09-19T23:50:34,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,43s
idx,53,LOG_TIME,2023-09-20T04:50:35,2023-09-19T23:50:35,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,44s
idx,54,LOG_TIME,2023-09-20T04:50:37,2023-09-19T23:50:37,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,45s
idx,55,LOG_TIME,2023-09-20T04:50:38,2023-09-19T23:50:38,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,1,46s
idx,56,LOG_TIME,2023-09-20T04:50:39,2023-09-19T23:50:39,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,47s
idx,57,LOG_TIME,2023-09-20T04:50:40,2023-09-19T23:50:40,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,48s
idx,58,LOG_TIME,2023-09-20T04:50:41,2023-09-19T23:50:41,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,49s
idx,59,LOG_TIME,2023-09-20T04:50:42,2023-09-19T23:50:42,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,50s
idx,60,LOG_TIME,2023-09-20T04:50:43,2023-09-19T23:50:43,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,51s
idx,61,LOG_TIME,2023-09-20T04:50:44,2023-09-19T23:50:44,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,52s
idx,62,LOG_TIME,2023-09-20T04:50:45,2023-09-19T23:50:45,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,53s
idx,63,LOG_TIME,2023-09-20T04:50:46,2023-09-19T23:50:46,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,54s
idx,64,LOG_TIME,2023-09-20T04:50:47,2023-09-19T23:50:47,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,55s
idx,65,LOG_TIME,2023-09-20T04:50:48,2023-09-19T23:50:48,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,56s
idx,66,LOG_TIME,2023-09-20T04:50:49,2023-09-19T23:50:49,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,57s
idx,67,LOG_TIME,2023-09-20T04:50:50,2023-09-19T23:50:50,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,59s
idx,68,LOG_TIME,2023-09-20T04:50:51,2023-09-19T23:50:51,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,59s
idx,69,LOG_TIME,2023-09-20T04:50:52,2023-09-19T23:50:52,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,61s
idx,70,LOG_TIME,2023-09-20T04:50:53,2023-09-19T23:50:53,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,62s
idx,71,LOG_TIME,2023-09-20T04:50:54,2023-09-19T23:50:54,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,63s
idx,72,LOG_TIME,2023-09-20T04:50:55,2023-09-19T23:50:55,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,64s
idx,73,LOG_TIME,2023-09-20T04:50:56,2023-09-19T23:50:56,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,65s
idx,74,LOG_TIME,2023-09-20T04:50:57,2023-09-19T23:50:57,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,66s
idx,75,LOG_TIME,2023-09-20T04:50:59,2023-09-19T23:50:59,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,67s
idx,76,LOG_TIME,2023-09-20T04:51:00,2023-09-19T23:51:00,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,68s
idx,77,LOG_TIME,2023-09-20T04:51:01,2023-09-19T23:51:01,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,69s
idx,78,LOG_TIME,2023-09-20T04:51:02,2023-09-19T23:51:02,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,70s
idx,79,LOG_TIME,2023-09-20T04:51:03,2023-09-19T23:51:03,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,71s
idx,80,LOG_TIME,2023-09-20T04:51:04,2023-09-19T23:51:04,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,72s
idx,81,LOG_TIME,2023-09-20T04:51:05,2023-09-19T23:51:05,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,73s
idx,82,LOG_TIME,2023-09-20T04:51:06,2023-09-19T23:51:06,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,74s
idx,83,LOG_TIME,2023-09-20T04:51:07,2023-09-19T23:51:07,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,75s
idx,84,LOG_TIME,2023-09-20T04:51:08,2023-09-19T23:51:08,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,76s
idx,85,LOG_TIME,2023-09-20T04:51:09,2023-09-19T23:51:09,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,77s
idx,86,LOG_TIME,2023-09-20T04:51:10,2023-09-19T23:51:10,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,78s
idx,87,LOG_TIME,2023-09-20T04:51:11,2023-09-19T23:51:11,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,79s
idx,88,LOG_TIME,2023-09-20T04:51:12,2023-09-19T23:51:12,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,80s
idx,89,LOG_TIME,2023-09-20T04:51:13,2023-09-19T23:51:13,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,2,5,2,81s
