idx,0,LOG_TIME,2023-09-15T20:49:21,2023-09-15T15:49:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,335m,4%,793Mi,9%,
kind-worker,52m,0%,349Mi,4%,
kind-worker2,59m,0%,330Mi,4%,
kind-worker3,40m,0%,323Mi,4%,
idx,1,LOG_TIME,2023-09-15T20:49:22,2023-09-15T15:49:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,335m,4%,793Mi,9%,
kind-worker,52m,0%,349Mi,4%,
kind-worker2,59m,0%,330Mi,4%,
kind-worker3,40m,0%,323Mi,4%,
idx,2,LOG_TIME,2023-09-15T20:49:23,2023-09-15T15:49:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,335m,4%,793Mi,9%,
kind-worker,52m,0%,349Mi,4%,
kind-worker2,59m,0%,330Mi,4%,
kind-worker3,40m,0%,323Mi,4%,
idx,3,LOG_TIME,2023-09-15T20:49:24,2023-09-15T15:49:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,335m,4%,793Mi,9%,
kind-worker,52m,0%,349Mi,4%,
kind-worker2,59m,0%,330Mi,4%,
kind-worker3,40m,0%,323Mi,4%,
idx,4,LOG_TIME,2023-09-15T20:49:25,2023-09-15T15:49:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,335m,4%,793Mi,9%,
kind-worker,52m,0%,349Mi,4%,
kind-worker2,59m,0%,330Mi,4%,
kind-worker3,40m,0%,323Mi,4%,
idx,5,LOG_TIME,2023-09-15T20:49:26,2023-09-15T15:49:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,335m,4%,793Mi,9%,
kind-worker,52m,0%,349Mi,4%,
kind-worker2,59m,0%,330Mi,4%,
kind-worker3,40m,0%,323Mi,4%,
idx,6,LOG_TIME,2023-09-15T20:49:27,2023-09-15T15:49:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,335m,4%,793Mi,9%,
kind-worker,52m,0%,349Mi,4%,
kind-worker2,59m,0%,330Mi,4%,
kind-worker3,40m,0%,323Mi,4%,
idx,7,LOG_TIME,2023-09-15T20:49:28,2023-09-15T15:49:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,335m,4%,793Mi,9%,
kind-worker,52m,0%,349Mi,4%,
kind-worker2,59m,0%,330Mi,4%,
kind-worker3,40m,0%,323Mi,4%,
idx,8,LOG_TIME,2023-09-15T20:49:30,2023-09-15T15:49:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,910m,11%,796Mi,9%,
kind-worker,69m,0%,349Mi,4%,
kind-worker2,64m,0%,329Mi,4%,
kind-worker3,57m,0%,272Mi,3%,
idx,9,LOG_TIME,2023-09-15T20:49:31,2023-09-15T15:49:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,910m,11%,796Mi,9%,
kind-worker,69m,0%,349Mi,4%,
kind-worker2,64m,0%,329Mi,4%,
kind-worker3,57m,0%,272Mi,3%,
idx,10,LOG_TIME,2023-09-15T20:49:32,2023-09-15T15:49:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,910m,11%,796Mi,9%,
kind-worker,69m,0%,349Mi,4%,
kind-worker2,64m,0%,329Mi,4%,
kind-worker3,57m,0%,272Mi,3%,
idx,11,LOG_TIME,2023-09-15T20:49:33,2023-09-15T15:49:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,910m,11%,796Mi,9%,
kind-worker,69m,0%,349Mi,4%,
kind-worker2,64m,0%,329Mi,4%,
kind-worker3,57m,0%,272Mi,3%,
idx,12,LOG_TIME,2023-09-15T20:49:34,2023-09-15T15:49:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,910m,11%,796Mi,9%,
kind-worker,69m,0%,349Mi,4%,
kind-worker2,64m,0%,329Mi,4%,
kind-worker3,57m,0%,272Mi,3%,
idx,13,LOG_TIME,2023-09-15T20:49:35,2023-09-15T15:49:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,910m,11%,796Mi,9%,
kind-worker,69m,0%,349Mi,4%,
kind-worker2,64m,0%,329Mi,4%,
kind-worker3,57m,0%,272Mi,3%,
idx,14,LOG_TIME,2023-09-15T20:49:36,2023-09-15T15:49:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,910m,11%,796Mi,9%,
kind-worker,69m,0%,349Mi,4%,
kind-worker2,64m,0%,329Mi,4%,
kind-worker3,57m,0%,272Mi,3%,
idx,15,LOG_TIME,2023-09-15T20:49:37,2023-09-15T15:49:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,910m,11%,796Mi,9%,
kind-worker,69m,0%,349Mi,4%,
kind-worker2,64m,0%,329Mi,4%,
kind-worker3,57m,0%,272Mi,3%,
idx,16,LOG_TIME,2023-09-15T20:49:38,2023-09-15T15:49:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,910m,11%,796Mi,9%,
kind-worker,69m,0%,349Mi,4%,
kind-worker2,64m,0%,329Mi,4%,
kind-worker3,57m,0%,272Mi,3%,
idx,17,LOG_TIME,2023-09-15T20:49:39,2023-09-15T15:49:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,18,LOG_TIME,2023-09-15T20:49:40,2023-09-15T15:49:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,19,LOG_TIME,2023-09-15T20:49:41,2023-09-15T15:49:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,20,LOG_TIME,2023-09-15T20:49:42,2023-09-15T15:49:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,21,LOG_TIME,2023-09-15T20:49:43,2023-09-15T15:49:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,22,LOG_TIME,2023-09-15T20:49:44,2023-09-15T15:49:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,23,LOG_TIME,2023-09-15T20:49:45,2023-09-15T15:49:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,24,LOG_TIME,2023-09-15T20:49:46,2023-09-15T15:49:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,25,LOG_TIME,2023-09-15T20:49:47,2023-09-15T15:49:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,26,LOG_TIME,2023-09-15T20:49:48,2023-09-15T15:49:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,27,LOG_TIME,2023-09-15T20:49:49,2023-09-15T15:49:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,28,LOG_TIME,2023-09-15T20:49:50,2023-09-15T15:49:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,29,LOG_TIME,2023-09-15T20:49:51,2023-09-15T15:49:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,30,LOG_TIME,2023-09-15T20:49:52,2023-09-15T15:49:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,31,LOG_TIME,2023-09-15T20:49:53,2023-09-15T15:49:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,32,LOG_TIME,2023-09-15T20:49:54,2023-09-15T15:49:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,33,LOG_TIME,2023-09-15T20:49:55,2023-09-15T15:49:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,34,LOG_TIME,2023-09-15T20:49:56,2023-09-15T15:49:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,35,LOG_TIME,2023-09-15T20:49:57,2023-09-15T15:49:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,36,LOG_TIME,2023-09-15T20:49:58,2023-09-15T15:49:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,37,LOG_TIME,2023-09-15T20:49:59,2023-09-15T15:49:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,38,LOG_TIME,2023-09-15T20:50:00,2023-09-15T15:50:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,39,LOG_TIME,2023-09-15T20:50:01,2023-09-15T15:50:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,40,LOG_TIME,2023-09-15T20:50:02,2023-09-15T15:50:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,41,LOG_TIME,2023-09-15T20:50:03,2023-09-15T15:50:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,42,LOG_TIME,2023-09-15T20:50:04,2023-09-15T15:50:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,43,LOG_TIME,2023-09-15T20:50:05,2023-09-15T15:50:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,44,LOG_TIME,2023-09-15T20:50:06,2023-09-15T15:50:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,45,LOG_TIME,2023-09-15T20:50:08,2023-09-15T15:50:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
